brandName,prodName,onlineProdSn,onlineProdCode,mainCategory,subCategory,detailCategory,price,salePrice,discountRate,reviewCount,avgRating,imageUrl
려,우아채 영양새치염색  120g,19929,,생활용품,헤어,컬러,12000,5950,50,10297,4.74,https://images-kr.amoremall.com/products/111410000182/111410000182_01.png?1753172911033
미쟝센,메이크온 시너지 마스크 (수분/광채/콜라겐 3종택1),64345,,스킨케어,스페셜 케어,마스크 & 팩,4000,2800,30,428,4.87,https://images-kr.amoremall.com/products/110100000096/110100000096_01.png?1743385418068
미쟝센,젬 소노 테라피 릴리프,21343,,뷰티 디바이스,페이셜 케어 기기,,325000,325000,0,378,4.69,https://images-kr.amoremall.com/products/110100000028/110100000028_01.png?1763942597440
미쟝센,가볍게 마시는 히알루론산 (20ml*15),64863,,뷰티푸드,건강식품,이너뷰티,35000,24500,30,54,4.63,https://images-kr.amoremall.com/products/110100000099/110100000099_01.png?1745567902617
미쟝센,[이사배PICK] 스킨 라이트 테라피 3S,24733,,뷰티 디바이스,페이셜 케어 기기,,475000,475000,0,1493,4.68,https://images-kr.amoremall.com/products/110100000032/110100000032_01.jpg?1763942597440
미쟝센,온페이스 LED 마스크,67302,,뷰티 디바이스,페이셜 케어 기기,,1899000,1899000,0,1,5,https://images-kr.amoremall.com/products/110100000100/110100000100_01.png?1763942597440
미쟝센,스킨 라이트 테라피 III,64314,,뷰티 디바이스,페이셜 케어 기기,,350000,315000,10,6,4.67,https://images-kr.amoremall.com/products/110100100094/110100100094_01.png?1751952185184
미쟝센,히알루로닉 스파 캡슐 24개입,56301,,스킨케어,스페셜 케어,앰플,90000,90000,0,53,4.77,https://images-kr.amoremall.com/products/110100000074/110100000074_01.png?1673578790217
미쟝센,페이셜 부스팅 스파,49262,,뷰티 디바이스,페이셜 케어 기기,,450000,450000,0,162,4.64,https://images-kr.amoremall.com/products/110100000062/110100000062_01.png?1763942597440
미쟝센,마그네타이트 바디롤러,38492,,소품 & 도구,바디 & 헤어 소품,,180000,180000,0,170,4.68,https://images-kr.amoremall.com/products/110100000051/110100000051_01.png?1726537233228
바이탈뷰티,[리필/케이스 택] 프라임 리저브 리트리니티 메쉬 파운데이션 12g,63214,,메이크업,페이스,파운데이션,34000,30600,10,330,4.76,https://images-kr.amoremall.com/products/1766538436536/111480000013/111480000013_00.jpg?1766538437572
바이탈뷰티,에이피 얼티밋 오일 투 밀크 클렌저 200ml,63993,,스킨케어,클렌징,클렌징 오일,72000,64800,10,118,4.86,https://images-kr.amoremall.com/products/1766537996706/111480000023/111480000023_00.jpg?1766537997877
바이탈뷰티,에이오 트리플 디펜스 에어리 선 세럼 40ml,63154,,스킨케어,선케어,,89000,80100,10,170,4.85,https://images-kr.amoremall.com/products/1766538235060/111480000012/111480000012_00.jpg?1766538236354
바이탈뷰티,에이피 리파이닝 파우더 투 폼 클렌저 55g,61432,,스킨케어,클렌징,,79000,71100,10,148,4.89,https://images-kr.amoremall.com/products/1766537958602/111380000439/111380000439_00.jpg?1766537959906
바이탈뷰티,마이크로파인 인텐시브 크림 투 폼 클렌저 150g,64627,,스킨케어,클렌징,클렌징폼,53000,47700,10,147,4.88,https://images-kr.amoremall.com/products/1766538033576/111480000036/111480000036_00.jpg?1766538034655
바이탈뷰티,리쥬브네이팅 부스터 샷 엠디 세럼 30ml,66734,,스킨케어,모이스처라이징,에센스 & 세럼,132000,118800,10,109,4.89,https://images-kr.amoremall.com/products/1766537362751/111480000084/111480000084_00.jpg?1766537363822
바이탈뷰티,에이피 프라임 리저브 리트리니티 메쉬 파운데이션 스펀지 2개입,62939,,소품 & 도구,미용 소도구,스펀지&퍼프,14000,12600,10,431,4.9,https://images-kr.amoremall.com/products/111480000009/111480000009_01.png?1763942597440
바이탈뷰티,NEW 에이오 리부트 앤 리뉴 에센스 80ml,64632,,스킨케어,모이스처라이징,스킨 & 토너,89000,80100,10,87,4.86,https://images-kr.amoremall.com/products/1764655568364/111480000037/111480000037_00.jpg?1764655569742
바이탈뷰티,듀얼 리페어 리프트 크림 마스크 5매 23g*5,63908,,스킨케어,스페셜 케어,마스크 & 팩,170000,153000,10,39,4.69,https://images-kr.amoremall.com/products/1766537214697/111480000022/111480000022_00.jpg?1766537215741
바이탈뷰티,에이피 듀얼 리페어 리프트 크림 30ml,62995,,스킨케어,모이스처라이징,크림,260000,234000,10,28,4.89,https://images-kr.amoremall.com/products/1766537259050/111480000010/111480000010_00.jpg?1766537260147
바이탈뷰티,에이피 리프트 앤 펌 듀얼 아이 트리트먼트,61425,,스킨케어,모이스처라이징,아이 & 넥,229000,206100,10,21,4.71,https://images-kr.amoremall.com/products/1764654749797/111380000434/111380000434_00.jpg?1764654750678
바이탈뷰티,에이피 에이오 리부트 앤 리뉴 에센스 150ml,60764,,스킨케어,모이스처라이징,스킨 & 토너,152000,136800,10,81,4.74,https://images-kr.amoremall.com/products/1766538085162/111380000417/111380000417_00.jpg?1766538086273
바이탈뷰티,퍼밍 앤 래디언스 플럼핑 에멀전 150ml,66731,,스킨케어,모이스처라이징,로션 & 에멀젼,110000,99000,10,27,4.78,https://images-kr.amoremall.com/products/1766537776611/111480000083/111480000083_00.jpg?1766537777555
바이탈뷰티,퍼밍 앤 래디언스 플럼핑 로션 150ml,66730,,스킨케어,모이스처라이징,로션 & 에멀젼,110000,99000,10,27,4.93,https://images-kr.amoremall.com/products/1766537733035/111480000082/111480000082_00.jpg?1766537734266
바이탈뷰티,리서페이싱 앤 리페어 에센스 150ml,66337,,스킨케어,모이스처라이징,에센스 & 세럼,179000,161100,10,19,4.74,https://images-kr.amoremall.com/products/1766537471608/111480000076/111480000076_00.jpg?1766537472856
바이탈뷰티,프라임 리저브 리트리니 메쉬 파운데이션 케이스,63489,,소품 & 도구,미용 소도구,용기,34000,30600,10,12,4.92,https://images-kr.amoremall.com/products/111480000017/111480000017_01.png?1763942597440
바이탈뷰티,에이피 에이오 리부트 앤 리뉴 더블 컨센트레이트 40ml,62851,,스킨케어,모이스처라이징,에센스 & 세럼,198000,178200,10,12,5,https://images-kr.amoremall.com/products/1766538144220/111480000008/111480000008_00.jpg?1766538145319
바이탈뷰티,에이피 에이오 리부트 앤 리뉴 크림,62794,,스킨케어,모이스처라이징,크림,210000,189000,10,26,4.92,https://images-kr.amoremall.com/products/1766538180822/111480000007/111480000007_00.jpg?1766538182164
바이탈뷰티,에이피 프라임 리저브 리트리니티 세럼 30ml,61493,,스킨케어,모이스처라이징,에센스 & 세럼,670000,603000,10,5,5,https://images-kr.amoremall.com/products/1764656288319/111480000004/111480000004_00.jpg?1764656289619
바이탈뷰티,에이피 프라임 리저브 리트리니티 아이 앤 익스프레션 크림 20ml,61430,,스킨케어,모이스처라이징,아이 & 넥,330000,297000,10,10,4.8,https://images-kr.amoremall.com/products/1764656101201/111380000438/111380000438_00.jpg?1764656102462
바이탈뷰티,에이피 리프트 앤 리뉴 더블 샷 프로그램 1ea,61424,,스킨케어,모이스처라이징,에센스 & 세럼,170000,153000,10,17,4.94,https://images-kr.amoremall.com/products/1766537316606/111380000433/111380000433_00.jpg?1766537317717
바이탈뷰티,에이피 프라임 리저브 리트리니티 에센스 로션 150ml,61429,,스킨케어,모이스처라이징,로션 & 에멀젼,259000,233100,10,18,4.89,https://images-kr.amoremall.com/products/1764655998410/111380000437/111380000437_00.jpg?1764655999444
바이탈뷰티,에이피 듀얼 리페어 리프트 리퀴드 크림 120ml,61422,,스킨케어,모이스처라이징,크림,245000,220500,10,25,4.92,https://images-kr.amoremall.com/products/1764654653605/111380000431/111380000431_00.jpg?1764654654611
바이탈뷰티,퍼밍 앤 래디언스 플럼핑 듀오,67773,,스킨케어,모이스처라이징,로션 & 에멀젼,192000,172800,10,1,5,https://images-kr.amoremall.com/products/1766537824285/111480000111/111480000111_00.jpg?1766537825390
바이탈뷰티,리쥬브네이팅 트리트먼트 엠디 크림 50ml,66735,,스킨케어,모이스처라이징,크림,132000,118800,10,206,4.77,https://images-kr.amoremall.com/products/1766537424966/111480000085/111480000085_00.jpg?1766537425599
